epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9714,1.19336,2.7728,4.81395,1.27979,0,0,0,0,0,0,0,0,0.82493,1.91396,4.35529,0.97871,6.20735e-05,6.20735e-05,6.20735e-05
2,43.2149,0.98057,1.87327,4.52302,1.08878,0.02531,0.17245,0.03099,0.02493,0.02596,0.1707,0.03126,0.0211,0.80525,1.52849,4.12521,0.99115,0.000123835,0.000123835,0.000123835
3,63.2696,0.92059,1.63183,4.1638,1.06237,0.39222,0.11238,0.08491,0.06616,0.39231,0.11309,0.08409,0.05742,0.81879,1.40698,3.48151,0.99224,0.00018435,0.00018435,0.00018435
4,83.1355,0.94355,1.55207,3.80172,1.08084,0.3647,0.18464,0.13275,0.10087,0.36528,0.18626,0.13284,0.09076,0.83889,1.30959,3.11462,1.03656,0.000183387,0.000183387,0.000183387
5,103.188,0.95219,1.49758,3.44421,1.07889,0.2889,0.22678,0.18484,0.14255,0.28932,0.22992,0.18514,0.13218,0.80915,1.237,2.73794,1.01483,0.000181516,0.000181516,0.000181516
6,123.316,0.93677,1.41267,3.09473,1.08619,0.33962,0.27104,0.23018,0.18132,0.33991,0.27154,0.22981,0.16385,0.80274,1.21324,2.53213,1.0166,0.000179645,0.000179645,0.000179645
7,143.585,0.92866,1.39272,2.82524,1.07129,0.41706,0.35307,0.31075,0.24396,0.41752,0.3542,0.3123,0.22496,0.78248,1.18732,2.19631,1.02,0.000177773,0.000177773,0.000177773
8,163.907,0.88486,1.3621,2.60253,1.061,0.34979,0.40904,0.3663,0.29091,0.34979,0.40904,0.36683,0.26668,0.75388,1.16368,1.99878,0.99877,0.000175902,0.000175902,0.000175902
9,184.077,0.86767,1.31816,2.40427,1.05381,0.51331,0.39661,0.41623,0.33456,0.51334,0.39647,0.41624,0.31037,0.73421,1.14266,1.82979,0.98272,0.000174031,0.000174031,0.000174031
10,204.102,0.84504,1.30012,2.25003,1.04727,0.45663,0.46431,0.46226,0.37527,0.45635,0.46764,0.46535,0.34544,0.73873,1.17136,1.74079,0.98365,0.00017216,0.00017216,0.00017216
11,224.539,0.84395,1.28471,2.10972,1.03719,0.46226,0.54226,0.51766,0.41714,0.46175,0.54339,0.51672,0.38737,0.71485,1.10024,1.60709,0.96948,0.000170289,0.000170289,0.000170289
12,244.81,0.81331,1.24468,1.9798,1.02532,0.55683,0.52302,0.53654,0.43721,0.55692,0.52303,0.53719,0.40793,0.72539,1.0786,1.51658,0.97056,0.000168418,0.000168418,0.000168418
13,265.106,0.81426,1.2461,1.91066,1.0093,0.5818,0.56225,0.60754,0.49394,0.58208,0.56295,0.60723,0.45757,0.68813,1.06748,1.37315,0.95832,0.000166547,0.000166547,0.000166547
14,285.017,0.79766,1.23825,1.784,1.01698,0.56206,0.57965,0.61665,0.49805,0.56214,0.58201,0.61739,0.46913,0.69921,1.05674,1.40677,0.96087,0.000164676,0.000164676,0.000164676
15,305.096,0.76705,1.17099,1.67959,0.99963,0.6567,0.58803,0.65771,0.52712,0.65695,0.58781,0.65756,0.49683,0.71102,1.08266,1.27031,0.95626,0.000162805,0.000162805,0.000162805
16,325.229,0.78103,1.21413,1.65117,1.00398,0.64163,0.62152,0.67421,0.54642,0.64223,0.62032,0.67373,0.51103,0.66542,1.04904,1.1819,0.93682,0.000160934,0.000160934,0.000160934
17,345.284,0.75253,1.19829,1.58359,0.98973,0.611,0.69235,0.70114,0.55929,0.61278,0.69146,0.69954,0.52816,0.67685,1.02059,1.14182,0.94984,0.000159062,0.000159062,0.000159062
18,365.345,0.75429,1.19713,1.52643,0.9921,0.67501,0.64449,0.71375,0.5864,0.67452,0.64342,0.71369,0.548,0.64961,1.02135,1.12072,0.92975,0.000157191,0.000157191,0.000157191
