epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1263,1.18933,2.73961,4.82198,1.26998,0,0,0,0,0,0,0,0,0.81674,1.8794,4.34966,0.97478,6.30588e-05,6.30588e-05,6.30588e-05
2,37.7333,0.97779,1.85396,4.52122,1.08593,0.01595,0.27144,0.03419,0.0261,0.01561,0.26288,0.03144,0.02216,0.8208,1.4837,3.98587,0.99178,0.000125801,0.000125801,0.000125801
3,56.0165,0.92237,1.61596,4.15769,1.06216,0.40925,0.1404,0.0758,0.06017,0.4088,0.13846,0.07444,0.05391,0.84997,1.371,3.42379,1.01267,0.000187276,0.000187276,0.000187276
4,74.1426,0.93905,1.53333,3.82082,1.07186,0.31956,0.18516,0.10971,0.08591,0.34201,0.18038,0.111,0.07749,0.83776,1.31184,3.14317,1.02621,0.000186298,0.000186298,0.000186298
5,92.2374,0.95182,1.48639,3.48585,1.07508,0.41627,0.23594,0.16794,0.13466,0.41484,0.23949,0.16906,0.12206,0.82138,1.2234,2.79983,1.02701,0.000184397,0.000184397,0.000184397
6,110.352,0.92866,1.40174,3.14257,1.08133,0.39252,0.23448,0.21744,0.17501,0.39299,0.23497,0.21807,0.16167,0.7742,1.19155,2.53234,0.99019,0.000182496,0.000182496,0.000182496
7,128.638,0.92759,1.37535,2.87031,1.0608,0.44633,0.31967,0.30354,0.24228,0.44621,0.32261,0.30514,0.22763,0.78184,1.16664,2.214,0.99627,0.000180595,0.000180595,0.000180595
8,146.763,0.88493,1.34333,2.6672,1.05396,0.43063,0.40263,0.36373,0.29414,0.4303,0.40215,0.36348,0.27519,0.74832,1.1639,2.00782,0.99583,0.000178694,0.000178694,0.000178694
9,164.846,0.87011,1.31044,2.47193,1.04773,0.46777,0.41951,0.40758,0.32791,0.46856,0.42053,0.40942,0.31003,0.75031,1.14023,1.89512,0.97874,0.000176794,0.000176794,0.000176794
10,182.755,0.84517,1.29239,2.30626,1.03518,0.52483,0.42526,0.46604,0.37724,0.52541,0.42617,0.46678,0.35308,0.7265,1.13413,1.78452,0.9631,0.000174893,0.000174893,0.000174893
